Providers,Address,Specialty,Latitude,Longitude
Dr. Salvatore Santangelo,"1901 Hooper Ave, Suite A, Toms River, NJ",Chiro,40.0161584,-74.1445977
Dr. Salvatore Santangelo,"812 Central Ave, Westfield, NJ",Chiro,40.6444259,-74.3345698
Dr. Sandro Larocca,"Mt. Laurel, NJ",Ortho Spine Surgery,39.9241516,-74.9499966
Dr. Sandro Larocca,"Lawrenceville, NJ",Ortho Spine Surgery,40.3016375,-74.7361013
Dr. Sandro Larocca,"North Brunswick, NJ",Ortho Spine Surgery,40.4637881,-74.4557172
Dr. Sandro Larocca,"Wall Township, NJ",Ortho Spine Surgery,40.1703777,-74.0928666
Dr. Scott Meyer,"310 Madison Ave, Suite 300, Morristown, NJ",Neurosurgeon,40.7817846,-74.4493055
Dr. Scott Meyer,"197 Ridgedale Ave, Suite 225, Cedar Knolls, NJ",Neurosurgeon,40.8122043,-74.4553942
Dr. Serge Menkin,"670 N Beers Street, Bldg 2, Suite 1, Holmdel, NJ 07733",Pain Management,40.4090062,-74.1971587
Dr. Serge Menkin,"843 Rahway Ave, Woodbridge, NJ 07095",Pain Management,40.5699246,-74.2720793
Dr. Serge Menkin,"311 Newark Ave, Jersey City, NJ",Pain Management,40.7244389,-74.0510839
Dr. Sherman,"Glassboro, NJ",Chiro,39.701392,-75.1062924
"Dr. Stanley Marczyk, Shore Orthopedic","Galloway, NJ",Hand Surgeon/Ortho Surgeon,39.47359809,-74.52380312
"Dr. Stanley Marczyk, Shore Orthopedic","Somers Point, NJ",Hand Surgeon/Ortho Surgeon,39.3120438,-74.60123605
Dr. Sylvia Bidwell,"Moorestown, NJ",Chiro,39.9635321,-74.9505802
Dr. Todd Bogos,"Wilmington, DE",Chiro,39.74431443,-75.54522477
Dr. Todd Bogos,"Newark, DE",Chiro,39.68276698,-75.75126667
Dr. Todd Bogos,"Bear, DE",Chiro,39.62818771,-75.65865651
Dr. Todd Bogos,"Dover, DE",Chiro,39.61932415,-75.68080187
Eastern Neurodiagnostic,"2301 Evesham Road, Suite 209, Voorhees, NJ 08043","Neuro, Pain Management, Neurppsych",39.8621152,-74.9613814
Excel PT,"West Deptford, NJ",PT,39.8438119,-75.1920384
Garden State Ortho,"455 Route 70 West Cherry Hill, NJ 08002 856-616-2999",Ortho,39.9147949,-75.0166018
Gerling Institute/Dr. Michael Gerling,"1117 US 46, Suite 202, Clifton, NJ",Ortho Spine and Regenerative Medicine,40.8700107,-74.1816296
Gerling Institute/Dr. Michael Gerling,"303 George Street, Suite 103, New Brunswick, NJ",Ortho Spine and Regenerative Medicine,40.4925308,-74.4428211
Gerling Institute/Dr. Michael Gerling,"443 Northfield Ave, Suite 203, West Orange, NJ",Ortho Spine and Regenerative Medicine,40.7716713,-74.2707967
IGEA Brain and Spine,"633 From Road, Paramus, NJ",Neurosurgeon and Neuropsych,40.9618073,-74.0681801
IGEA Brain and Spine,"883 Poole Ave, Suite 3, Hazlet, NJ",Neurosurgeon and Neuropsych,40.4188563,-74.1773283
IGEA Brain and Spine,"222 Columbia Tpk, Florham Park, NJ",Neurosurgeon and Neuropsych,40.789468,-74.3973686
IGEA Brain and Spine,"1057 Commerve Ave, Union, NJ",Neurosurgeon and Neuropsych,40.7006405,-74.2798833
Landa Spine and Ortho Center-Dr. Shereff Hassan and Dr. Landa,"15 Engle Street, Suite 102, Englewood, NJ","Extremity ortho, Neurosurgeon",40.8934119,-73.9718954
Landa Spine and Ortho Center-Dr. Shereff Hassan and Dr. Landa,"200 Perrine Road, Suite 220, Old Bridge, NJ ","Extremity ortho, Neurosurgeon",40.4340326,-74.3012021
Landa Spine and Ortho Center-Dr. Shereff Hassan and Dr. Landa,"680 Broadway, Suite 205, Paterson, NJ","Extremity ortho, Neurosurgeon",40.9177488,-74.1443652
Marc Bolinger,Willingboro,Chiro,40.0289026,-74.8807662
NeuroSpine Plus/Dr. Ed Scheid and Dr. Gabriel Hunt,"37 West Century Road, Suite 104, Paramus, NJ",Neurosurgeon,40.9314373,-74.0738643
NeuroSpine Plus/Dr. Ed Scheid and Dr. Gabriel Hunt,"1601 Kings Highway North, Cherry Hill, NJ ",Neurosurgeon,39.9162198,-75.0070336
NeuroSpine Plus/Dr. Ed Scheid and Dr. Gabriel Hunt,"550 Newark Ave, Suite 408, Jersey City, NJ",Neurosurgeon,40.7314921,-74.055596
NeuroSpine Plus/Dr. Ed Scheid and Dr. Gabriel Hunt,"6307 JFK Blvd, North Bergen, NJ",Neurosurgeon,40.7940206,-74.0192307
NeuroSpine Plus/Dr. Ed Scheid and Dr. Gabriel Hunt,"2 Lincoln Highway, Suite 507, Edison, NJ 08820",Neurosurgeon,40.5556659,-74.3476569
NeuroSpine Plus/Dr. Ed Scheid and Dr. Gabriel Hunt,"2440 Route 34, Wall, NJ 08736",Neurosurgeon,40.1212497,-74.0781571
NeuroSpine Plus/Dr. Ed Scheid and Dr. Gabriel Hunt,"141 Rotue 46, Suite 102, Rockaway, NJ",Neurosurgeon,40.8932784,-74.5085327
New Jersey Institute for Pain Relief,"401 New Road, Linwood, NJ 08221","Pain, Ortho, Chiro, PT",39.357458,-74.5710057
New Jersey Institute for Pain Relief,"401 Route 70 East, Suite 208, Cherry Hill, NJ","Pain, Ortho, Chiro, PT",39.911731,-75.0018755
New Jersey Institute for Pain Relief,"123 Clifford Street, Suite 105, Newark, NJ ","Pain, Ortho, Chiro, PT",40.71977,-74.1628374
New Jersey Institute for Pain Relief,"425 Main Street, Orange, NJ","Pain, Ortho, Chiro, PT",40.7740261,-74.2336155
New Jersey Institute for Pain Relief,"1330 Calhoun Street, Suite 5, Trenton, NJ","Pain, Ortho, Chiro, PT",40.2352274,-74.7618256
New Jersey Institute for Pain Relief,"1120 Stelton Road, Piscataway, NJ","Pain, Ortho, Chiro, PT",40.5462857,-74.4275157
New Jersey Institute for Pain Relief,"333 Madison Ave, Perth Amboy, NJ","Pain, Ortho, Chiro, PT",40.510374,-74.2696725
New Jersey Institute for Pain Relief,"2177 Oak Tree Road, Edison, NJ ","Pain, Ortho, Chiro, PT",40.5767833,-74.3857257
New Jersey Institute for Pain Relief,"438 Commons Way, Bldg D, Toms River, NJ","Pain, Ortho, Chiro, PT",39.9664098,-74.2181722
New Jersey Institute for Pain Relief,"611 Van Houten Ave, Clifton, NJ","Pain, Ortho, Chiro, PT",40.8577323,-74.1478735
New Jersey Institute for Pain Relief,"10 Vreeland Drive, Suite 106, Skillman, NJ 08558","Pain, Ortho, Chiro, PT",40.4057907,-74.6594867
New Jersey Institute for Pain Relief,"25 Commcer Drive, Suite 100, Cranford, NJ","Pain, Ortho, Chiro, PT",40.6444494,-74.2864284
NingNing He,"2040 Millburn Ave Suite 104, Maplewood, NJ 07040",,40.72012231167206, -74.27711217438019
NingNing He,"2124 Oak Tree Road, 2nd Floor, Edison NJ 08820",,40.577730402268415, -74.38029423317182
NingNing He,"2175 Lemoine Ave #403, Fort Lee, NJ 07024",,40.85689433632441, -73.96700570320984
NingNing He,"550 Newark Ave, Suite 401, Jersey City, NJ 07306",,40.731589631949966, -74.05562818971931
NingNing He,"401 Hamburg Turnpike Suite 203, Wayne, NJ 07470",,40.95066662612413, -74.21059784738064
Nu Spine/Dr. Branko Skovrlj,"37 W Century Road, Suite 105A, Paramus, NJ ",Neurosurgeon,40.9319868,-74.0735681
Nu Spine/Dr. Branko Skovrlj,"631 Grand Street, Suite 2-100, Jersey City, NJ",Neurosurgeon,40.7164749,-74.0634708
Nu Spine/Dr. Branko Skovrlj,"573 Amboy Ave, Woodbridge Township, NJ",Neurosurgeon,40.5602766,-74.2855054
Nu Spine/Dr. Branko Skovrlj,"1000 West Main Street, Suite 201, Freehold, NJ",Neurosurgeon,40.2333922,-74.3136889
Nu Spine/Dr. Branko Skovrlj,"101 Crawfords Corner Road, Suite 1116-B, Holmdel, NJ",Neurosurgeon,40.3650877,-74.167457
Nu Spine/Dr. Branko Skovrlj,"1901 Hooper Ave, Suite B, Toms River, NJ ",Neurosurgeon,40.0161952,-74.1445376
Paek Pain/Dr. Patel,"Marlton, NJ",Pain Management,39.8912248,-74.9218324
Peak Pain/Dr. Patel,"Toms River, NJ",Pain Management,39.9634178,-74.1873386
Pennsauken Spine & Pain/Dr. Mariani,"4307 Westfield Ave, Pennsauken, NJ ",Chiro,39.9559559,-75.0700623
Princeton Brain & Spine,"Moorestown, NJ","Neurosurgery, Neuro, chiro, PT",39.9635321,-74.9505802
Princeton Brain & Spine,"Sicklerville, NJ","Neurosurgery, Neuro, chiro, PT",39.74494466,-74.99414326
Princeton Brain & Spine,"Pennsauken, NJ","Neurosurgery, Neuro, chiro, PT",39.92777506,-75.08181032
Princeton Brain & Spine,"Mullica Hill, NJ","Neurosurgery, Neuro, chiro, PT",39.7392804,-75.2240718
Princeton Brain & Spine,"731 Alexander Road, Suite 200, Princeton, NJ","Neurosurgery, Neuro, chiro, PT",40.3223467,-74.6371561
Princeton Brain & Spine,"Freehold, NJ","Neurosurgery, Neuro, chiro, PT",40.2214359,-74.2674437
Relievus,"227 Madison Ave, Lumberton, NJ 08048","Neuro, Pain Mgmt",39.9836281,-74.7965337
Relievus,"2 Eighth Street, Hammonton, NJ","Neuro, Pain Mgmt",39.6170936,-74.7739882
Relievus,"3100 Hingston Ave, Egg Harbor, NJ ","Neuro, Pain Mgmt",39.3904144,-74.5594114
Relievus,"1400 Route 70 East, Cherry Hill, NJ","Pain Management, Neuro",39.9112479,-74.9935241
Relievus,"429 White Horse Road, Atco, NJ","Neuro, Pain Mgmt",39.8440891,-74.9915816
Relievus,"415 W. Landis Ave, Vineland, NJ","Neuro, Pain Mgmt",39.4859034,-75.0276884
Relievus,"310 Egg Harbor Road, Sewell, NJ","Neuro, Pain Mgmt",39.7641887,-75.0849316
Relievus,"750 Mantua Pike, Woodbury Heights, NJ ","Neuro, Pain Mgmt",39.8223284,-75.1609265
Relievus,"3535 Quakerbridge Rd, Suite 200, Hamilton, NJ ","Neuro, Pain Mgmt",40.2555476,-74.6795437
Relievus,"2186 NJ-27, Suite 2D, North Brunswick, NJ","Neuro, Pain Mgmt",40.4559859,-74.5128684
Relievus,"1820 Corlies Ave, Suite 10A, Neptune, NJ","Neuro, Pain Mgmt",40.2079075,-74.0357054
Relievus,"27 South Cooks Bridge Road, Suite 211, Jackson, NJ","Neuro, Pain Mgmt",40.1216675,-74.2883939
Relievus,"40 Bey Lea Road, Bldg C, Suite 203, Toms River, NJ","Neuro, Pain Mgmt",39.9904993,-74.2003038
Revolution Chiro/Dr. Devon Coughlin,"65 E Route 70, Unite 9A, Marlton, NJ",chiro,39.8924542,-74.917863
SJSR,Willingsboro,chiro ,40.0289026,-74.8807662
SJSR-Dr. Steve Bartasius,"215 Sunset Road, Suite 201, Willingboro, NJ",Chiro,40.0489073,-74.8834235
Sole Focus/Dr. Vrunda Dalal,"801 Route 73 N, Suite B, Marlton, NJ ",,39.905627,-74.938749
Spinal Health & Rehab,"5045 Route 38, Pennsauken, NJ 08109",Chiro & PT,39.9354726,-75.0683539
Spine & Joint Pain,"1000 US9, #100, WoodbridgeTownship, NJ 07095","Pain, ortho, neurosurgeon, PT, EMGs",40.5455932,-74.2907324
Spine and Joint Specialists,"1401 Marlton Pike East, Suite 14, Cherry Hill, NJ","Extremity ortho, Neurosurgeon",39.9101608,-74.9931108
Spine One,"1128 Atlantic Ave, Atlantic City, NJ",Chiro,39.363041,-74.4251884
Spine One,"300 Philadelphia Ave, Egg Harbor City, NJ",chiro,39.5313431,-74.6441215
Spine One,"1701 New Road, Northfield, NJ ",Chiro,39.37028,-74.558758
Spine one,"1034 marlton Pike East, Cherry Hill, NJ ",chiro,39.9121096,-74.9988385
Sun Up Chiro-Dr. Baksh,"676 Montgomery Street, Jersey City, NJ",,40.7245124,-74.0656761
Sun Up Chiro-Dr. Baksh,"1527 NJ27, Suite 1100, Somerset, NJ",,40.4677558,-74.4983942
Sun Up Chiro-Dr. Baksh,"1279 US 46, #3, Parsippany, nj",,40.8625879,-74.3922978
Wellness and Pain/Dr. Michelle Molina and Dr. Jonathan Arad,"595 Chestnut Ride Road, Suite 7A, Woodcliff Lake, NJ",Neuro and Pain Management,41.0464517,-74.0720723
Wellness and Pain/Dr. Michelle Molina and Dr. Jonathan Arad,"1135 Broad Street, Suite 103, Clifton, NJ ",Neuro and Pain Management,40.8578017,-74.1756486
Relievus,"1617 JFK Blvd, Suite 1100, Philadelphia, PA",,39.9542677,-75.1678993
Relievus,"700 E Townshio Line Road, Havertown, PA",,39.9743713,-75.2822241
Relievus,"1929 Fruitville Pike, Lancaster, PA",,40.0753274,-76.3214061
Relievus,"9815 Roosevelt Blvd, Unit J, Philadelphia, PA",,40.0854574,-75.0221457
Relievus,"400 Cresson Blvd, Suite 110, Phoenixville, PA",,40.1317908,-75.4499034
Relievus,"1177 Highway 315, Wilkes Barre, PA",,41.2594909,-75.8197402
Relievus,"2760 Century Blvd, Wyomissing, PA",,40.3585102,-75.9897418
5th Street Spine,5901 N. 5th Street,chiro,40.0411312,-75.1292378
,"Philadelphia, Pennsylvania 19120",,40.0380778,-75.1136721
NeuroSpine Plus/Dr. Ed Scheid and Dr. Gabriel Hunt,"240 W. 40th Street, 4th Floor, New York, NY",Neurosurgeon,40.7552667,-73.9895821
Wellness and Pain/Dr. Michelle Molina and Dr. Jonathan Arad,"1053 Saw Mill River Road, Suite LL1, Ardsley, NY",Neuro and Pain Management,41.0238378,-73.8427793
Dr. Ilana Etelzon/Pain Doctors NY,"35 West End Ave PH1,Brooklyn, New York 11235 ",,40.5814315,-73.9535161
Dr. Ilana Etelzon/Pain Doctors NY,"17 Perlman Dr. #201, Spring Valley, NY",,41.1060712,-74.0320021
Dr. Ilana Etelzon/Pain Doctors NY,"253 NY-211 2nd floor, Middletown, NY",,41.45438,-74.401807
Dr. Ilana Etelzon/Pain Doctors NY,"1 Civic Center Plaza #107, Poughkeepsie, NY",,41.7041363,-73.9282286
Dr. Ilana Etelzon/Pain Doctors NY,"330 Livingston Ave ste 1 A, New Brunswick, NJ 08901",,40.48177474187478, -74.45591923205922
Dr. Ilana Etelzon/Pain Doctors NY,"50 Franklin lane unit 2 Manalapan",,40.312785462461896, -74.30247300323074
Gerling Institute/Dr. Michael Gerling,"110 Duane Street, New York, NY/Manhattan-Tribeca",Ortho Spine and Regenerative Medicine,40.715583,-74.0064431
Gerling Institute/Dr. Michael Gerling,"73 E 71st Street, New York, NY/Manhattan/740 Park Ave",Ortho Spine and Regenerative Medicine,40.7708066,-73.9648072
Gerling Institute/Dr. Michael Gerling,"2279 Coney Island Ave, 2nd Floor, Brooklyn, NY",Ortho Spine and Regenerative Medicine,40.601518,-73.961071
Gerling Institute/Dr. Michael Gerling,"94 9th St, Unit 1-222, Brooklyn, NY /Administrative",Ortho Spine and Regenerative Medicine,40.7310865,-73.99215
Gerling Institute/Dr. Michael Gerling,"80-02 Kew Gardens Road, Kew Gardens, NY 11415/Queens",Ortho Spine and Regenerative Medicine,40.7137981,-73.8310324
Gerling Institute/Dr. Michael Gerling,"1497 Richmond Road, Staten Island, NY",Ortho Spine and Regenerative Medicine,40.5930429,-74.1008945
